first_team,second_team,stadium,winner
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals 
Kochi Tuskers Kerala , Royal Challengers Bangalore,"Nehru Stadium, Kochi",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Pune Warriors , Kings XI Punjab,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Pune Warriors , Kochi Tuskers Kerala,"Dr DY Patil Sports Academy, Mumbai",Pune Warriors 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders 
Mumbai Indians , Kochi Tuskers Kerala,"Wankhede Stadium, Mumbai",Kochi Tuskers Kerala 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Pune Warriors , Delhi Daredevils,"Dr DY Patil Sports Academy, Mumbai",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kochi Tuskers Kerala , Chennai Super Kings,"Nehru Stadium, Kochi",Kochi Tuskers Kerala 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Deccan Chargers 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Match abandoned without a ball being bowled
Mumbai Indians , Pune Warriors,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kochi Tuskers Kerala,"Eden Gardens, Kolkata",Kochi Tuskers Kerala 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Rajasthan Royals , Kochi Tuskers Kerala,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Pune Warriors,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Pune Warriors , Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
