first_team,second_team,stadium,winner
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Delhi Daredevils 
Royal Challengers Bangalore , Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Delhi Daredevils,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers 
