first_team,second_team,stadium,winner
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiants 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",Gujarat Lions 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Gujarat Lions , Rising Pune Supergiant,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Mumbai Indians , Gujarat Lions,"Wankhede Stadium, Mumbai",Gujarat Lions 
Kings XI Punjab , Rising Pune Supergiant,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Gujarat Lions , Sunrisers Hyderabad,"Saurashtra Cricket Association Stadium, Rajkot",Sunrisers Hyderabad 
Rising Pune Supergiant , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Rising Pune Supergiant , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Sunrisers Hyderabad , Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Hyderabad",Rising Pune Supergiants 
Delhi Daredevils , Gujarat Lions,"Feroz Shah Kotla, Delhi",Gujarat Lions 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rising Pune Supergiant , Gujarat Lions,"Maharashtra Cricket Association Stadium, Pune",Gujarat Lions 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Kings XI Punjab,"Saurashtra Cricket Association Stadium, Rajkot",Kings XI Punjab 
Rising Pune Supergiant , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Gujarat Lions , Delhi Daredevils,"Saurashtra Cricket Association Stadium, Rajkot",Delhi Daredevils 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Rising Pune Supergiant,"Feroz Shah Kotla, Delhi",Rising Pune Supergiants 
Sunrisers Hyderabad , Gujarat Lions,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Royal Challengers Bangalore , Rising Pune Supergiant,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Kolkata Knight Riders , Gujarat Lions,"Eden Gardens, Kolkata",Gujarat Lions 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore 
Rising Pune Supergiant , Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kings XI Punjab 
Royal Challengers Bangalore , Gujarat Lions,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Rising Pune Supergiant,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Mumbai Indians , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Rising Pune Supergiant , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Gujarat Lions , Kolkata Knight Riders,"Green Park, Kanpur",Gujarat Lions 
Delhi Daredevils , Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Rising Pune Supergiant , Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants 
Gujarat Lions , Mumbai Indians,"Green Park, Kanpur",Gujarat Lions 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bangalore 
Gujarat Lions , Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Gujarat Lions , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad 
