first_team,second_team,stadium,winner
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals 
Chennai Super Kings , Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad 
Rajasthan Royals , Mumbai Indians,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Kings XI Punjab , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils 
Sunrisers Hyderabad , Rajasthan Royals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rajasthan Royals 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Sunrisers Hyderabad , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Daredevils 
Kings XI Punjab , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Rajasthan Royals , Kings XI Punjab,"Sardar Patel Stadium, Ahmedabad",Match tied (Kings XI Punjab 
Sunrisers Hyderabad , Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Rajasthan Royals , Royal Challengers Bangalore,"Sardar Patel Stadium, Ahmedabad",Royal Challengers Bangalore 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Match abandoned without a ball being bowled
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",No result
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
