first_team,second_team,stadium,winner
Deccan Chargers , Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Brabourne Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Deccan Chargers 
Rajasthan Royals , Delhi Daredevils,"Sardar Patel Stadium, Ahmedabad",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Deccan Chargers , Kings XI Punjab,"Barabati Stadium, Cuttack",Deccan Chargers 
Rajasthan Royals , Kolkata Knight Riders,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Mumbai Indians , Royal Challengers Bangalore,"Brabourne Stadium, Mumbai",Royal Challengers Bangalore 
Deccan Chargers , Delhi Daredevils,"Barabati Stadium, Cuttack",Deccan Chargers 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Match tied (Kings XI Punjab 
Mumbai Indians , Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Mumbai Indians , Chennai Super Kings,"Brabourne Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Deccan Chargers,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Deccan Chargers , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Brabourne Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Mumbai Indians , Deccan Chargers,"Brabourne Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kings XI Punjab 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Rajasthan Royals,"Vidarbha Cricket Association Stadium, Nagpur",Rajasthan Royals 
