first_team,second_team,stadium,winner
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Daredevils 
Pune Warriors , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Mumbai Indians , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Pune Warriors,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
Pune Warriors , Kings XI Punjab,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Match tied - (Hyderabad 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Pune Warriors , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Mumbai Indians , Pune Warriors,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Pune Warriors,"MA Chidambaram Stadium, Chennai",Pune Warriors 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Match tied (Bangalore 
Pune Warriors , Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kings XI Punjab , Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Chennai Super Kings , Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Pune Warriors , Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Pune Warriors,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Sunrisers Hyderabad , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals 
Pune Warriors , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Pune Warriors , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Kolkata Knight Riders , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Pune Warriors,"JSCA International Stadium Complex, Ranchi",Pune Warriors 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Sunrisers Hyderabad , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Pune Warriors , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Chennai Super Kings , Mumbai Indians,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Rajasthan Royals , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Mumbai Indians , Rajasthan Royals,"Eden Gardens, Kolkata",Mumbai Indians 
Chennai Super Kings , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Mumbai Indians , Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Sharjah Cricket Association Stadium, Sharjah",Royal Challengers Bangalore 
Chennai Super Kings , Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab 
Sunrisers Hyderabad , Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"Dubai International Cricket Stadium , Dubai",Royal Challengers Bangalore 
Kolkata Knight Riders , Delhi Daredevils,"Dubai International Cricket Stadium , Dubai",Delhi Daredevils 
Rajasthan Royals , Kings XI Punjab,"Sharjah Cricket Association Stadium, Sharjah",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings 
Kings XI Punjab , Sunrisers Hyderabad,"Sharjah Cricket Association Stadium, Sharjah",Kings XI Punjab 
Rajasthan Royals , Chennai Super Kings,"Dubai International Cricket Stadium , Dubai",Chennai Super Kings 
Royal Challengers Bangalore , Kolkata Knight Riders,"Sharjah Cricket Association Stadium, Sharjah",Kolkata Knight Riders 
Sunrisers Hyderabad , Delhi Daredevils,"Dubai International Cricket Stadium , Dubai",Sunrisers Hyderabad 
Chennai Super Kings , Mumbai Indians,"Dubai International Cricket Stadium , Dubai",Chennai Super Kings 
Rajasthan Royals , Royal Challengers Bangalore,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals 
Kolkata Knight Riders , Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab 
Delhi Daredevils , Mumbai Indians,"Sharjah Cricket Association Stadium, Sharjah",Delhi Daredevils 
Sunrisers Hyderabad , Chennai Super Kings,"Sharjah Cricket Association Stadium, Sharjah",Chennai Super Kings 
Kings XI Punjab , Royal Challengers Bangalore,"Dubai International Cricket Stadium , Dubai",Kings XI Punjab 
Kolkata Knight Riders , Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Match tied (Rajasthan 
Mumbai Indians , Sunrisers Hyderabad,"Dubai International Cricket Stadium , Dubai",Sunrisers Hyderabad 
Chennai Super Kings , Kolkata Knight Riders,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Rajasthan Royals , Kolkata Knight Riders,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Barabati Stadium, Cuttack",Kings XI Punjab 
Rajasthan Royals , Sunrisers Hyderabad,"Sardar Patel Stadium, Ahmedabad",Sunrisers Hyderabad 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Hyderabad 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"Barabati Stadium, Cuttack",Kolkata Knight Riders 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Chennai Super Kings , Rajasthan Royals,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Kolkata Knight Riders , Mumbai Indians,"Barabati Stadium, Cuttack",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Chennai Super Kings , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Sunrisers Hyderabad,"JSCA International Stadium Complex, Ranchi",Sunrisers Hyderabad 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Mumbai Indians,"Brabourne Stadium, Mumbai",Chennai Super Kings 
Kings XI Punjab , Chennai Super Kings,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Kolkata Knight Riders , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals 
Chennai Super Kings , Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad 
Rajasthan Royals , Mumbai Indians,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Kings XI Punjab , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils 
Sunrisers Hyderabad , Rajasthan Royals,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rajasthan Royals 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Sunrisers Hyderabad , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Daredevils 
Kings XI Punjab , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Rajasthan Royals , Kings XI Punjab,"Sardar Patel Stadium, Ahmedabad",Match tied (Kings XI Punjab 
Sunrisers Hyderabad , Kolkata Knight Riders,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Rajasthan Royals , Royal Challengers Bangalore,"Sardar Patel Stadium, Ahmedabad",Royal Challengers Bangalore 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Match abandoned without a ball being bowled
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",No result
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Rajasthan Royals , Delhi Daredevils,"Brabourne Stadium, Mumbai",Rajasthan Royals 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Rajasthan Royals , Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",Sunrisers Hyderabad 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Chennai Super Kings,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
