first_team,second_team,stadium,winner
Mumbai Indians , Kolkata Knight Riders,"Sheikh Zayed Stadium, Abu Dhabi",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Sharjah Cricket Association Stadium, Sharjah",Royal Challengers Bangalore 
Chennai Super Kings , Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab 
Sunrisers Hyderabad , Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals 
Royal Challengers Bangalore , Mumbai Indians,"Dubai International Cricket Stadium , Dubai",Royal Challengers Bangalore 
Kolkata Knight Riders , Delhi Daredevils,"Dubai International Cricket Stadium , Dubai",Delhi Daredevils 
Rajasthan Royals , Kings XI Punjab,"Sharjah Cricket Association Stadium, Sharjah",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"Sheikh Zayed Stadium, Abu Dhabi",Chennai Super Kings 
Kings XI Punjab , Sunrisers Hyderabad,"Sharjah Cricket Association Stadium, Sharjah",Kings XI Punjab 
Rajasthan Royals , Chennai Super Kings,"Dubai International Cricket Stadium , Dubai",Chennai Super Kings 
Royal Challengers Bangalore , Kolkata Knight Riders,"Sharjah Cricket Association Stadium, Sharjah",Kolkata Knight Riders 
Sunrisers Hyderabad , Delhi Daredevils,"Dubai International Cricket Stadium , Dubai",Sunrisers Hyderabad 
Chennai Super Kings , Mumbai Indians,"Dubai International Cricket Stadium , Dubai",Chennai Super Kings 
Rajasthan Royals , Royal Challengers Bangalore,"Sheikh Zayed Stadium, Abu Dhabi",Rajasthan Royals 
Kolkata Knight Riders , Kings XI Punjab,"Sheikh Zayed Stadium, Abu Dhabi",Kings XI Punjab 
Delhi Daredevils , Mumbai Indians,"Sharjah Cricket Association Stadium, Sharjah",Delhi Daredevils 
Sunrisers Hyderabad , Chennai Super Kings,"Sharjah Cricket Association Stadium, Sharjah",Chennai Super Kings 
Kings XI Punjab , Royal Challengers Bangalore,"Dubai International Cricket Stadium , Dubai",Kings XI Punjab 
Kolkata Knight Riders , Rajasthan Royals,"Sheikh Zayed Stadium, Abu Dhabi",Match tied (Rajasthan 
Mumbai Indians , Sunrisers Hyderabad,"Dubai International Cricket Stadium , Dubai",Sunrisers Hyderabad 
Chennai Super Kings , Kolkata Knight Riders,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Rajasthan Royals , Kolkata Knight Riders,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Barabati Stadium, Cuttack",Kings XI Punjab 
Rajasthan Royals , Sunrisers Hyderabad,"Sardar Patel Stadium, Ahmedabad",Sunrisers Hyderabad 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Hyderabad 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Kings XI Punjab , Kolkata Knight Riders,"Barabati Stadium, Cuttack",Kolkata Knight Riders 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Chennai Super Kings , Rajasthan Royals,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Kolkata Knight Riders , Mumbai Indians,"Barabati Stadium, Cuttack",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals 
Chennai Super Kings , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sardar Patel Stadium, Ahmedabad",Mumbai Indians 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Sunrisers Hyderabad,"JSCA International Stadium Complex, Ranchi",Sunrisers Hyderabad 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Mumbai Indians,"Brabourne Stadium, Mumbai",Chennai Super Kings 
Kings XI Punjab , Chennai Super Kings,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Kolkata Knight Riders , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
