first_team,second_team,stadium,winner
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Delhi Daredevils 
Mumbai Indians , Pune Warriors,"Wankhede Stadium, Mumbai",Pune Warriors 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Deccan Chargers , Chennai Super Kings,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Chennai Super Kings 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Pune Warriors , Kings XI Punjab,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Deccan Chargers , Mumbai Indians,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kings XI Punjab , Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Pune Warriors , Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kings XI Punjab 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Delhi Daredevils 
Rajasthan Royals , Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Chennai Super Kings , Pune Warriors,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Pune Warriors,"Feroz Shah Kotla, Delhi",Pune Warriors 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Deccan Chargers , Kolkata Knight Riders,"Barabati Stadium, Cuttack",Kolkata Knight Riders 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore 
Pune Warriors , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils 
