first_team,second_team,stadium,winner
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Pune Warriors,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
Pune Warriors , Kings XI Punjab,"Maharashtra Cricket Association Stadium, Pune",Kings XI Punjab 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Match tied - (Hyderabad 
Rajasthan Royals , Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Pune Warriors , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Mumbai Indians , Pune Warriors,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Pune Warriors,"MA Chidambaram Stadium, Chennai",Pune Warriors 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Match tied (Bangalore 
Pune Warriors , Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Royal Challengers Bangalore , Rajasthan Royals,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kings XI Punjab , Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Royal Challengers Bangalore , Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Chennai Super Kings , Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Delhi Daredevils , Pune Warriors,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Pune Warriors , Chennai Super Kings,"Maharashtra Cricket Association Stadium, Pune",Chennai Super Kings 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Pune Warriors,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
